slug,sourceUid,sku,title,supplier,supplierCode,sourceUrl,mainImageUrl,priority,action,reason
nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,ESA_nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,NISSAN PATROL Y61 GU 4.8L CAT ASSY USE WITH EH148,Exhaust Systems Australia,esa,https://exhaustsystemsaustralia.com.au/products/nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,ESA_holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,"HOLDEN COMMODORE VE UTE TWIN REAR 2 1/2"" J-PIPE KIT RHS WITH TYP083 TIP",Exhaust Systems Australia,esa,https://exhaustsystemsaustralia.com.au/products/holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
chevh142-134-c-2010-camaro-1-3-4in-headers-with-3in-outlet-silver-ceramic-coating,MPI_CHEVH142-134-C,CHEVH142-134-C,2010 Camaro 1 3/4in Headers With 3in Outlet (Silver Ceramic Coating),MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
ssmbc722-e5-c-silverado-1500-v8-6-2l-ceramic-coated-3in-cats-lh-rh-oe-e5,MPI_SSMBC722-E5-C,SSMBC722-E5-C,SILVERADO 1500 V8 6.2L CERAMIC COATED 3in CATS LH + RH OE E5,MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
ssmbm478mf-e4-ev-vf-hsv-incl-gts-clubsport-3in-dual-rear-mufflers-with-oem-electric-bimodal-valves,MPI_SSMBM478MF-E4-EV,SSMBM478MF-E4-EV,"VF HSV Incl GTS, Clubsport 3in Dual Rear Mufflers With OEM Electric Bimodal Valves",MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
ssmbm478mf-e3-vbm-ve-sedan-v8-6-2l-e3-hsv-3in-dual-rear-mufflers-fitted-with-oem-vacuum-bimodal-valves,MPI_SSMBM478MF-E3-VBM,SSMBM478MF-E3-VBM,VE Sedan V8 6.2L E3 HSV 3in Dual Rear Mufflers Fitted With OEM VACUUM Bimodal Valves,MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
fx-720hpc-s-silverado-1500-v8-6-2l-1-7-8in-ceramic-coated-extractors-with-3in-outlets-ceramic-coated-silver,MPI_FX-720HPC-S,FX-720HPC-S,SILVERADO 1500 V8 6.2L 1 7/8in Ceramic Coated Extractors with 3in outlets - Ceramic Coated (Silver),MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
ssmbm644mf-bm-ford-mustang-v8-3in-dual-rear-mufflers-with-4in-quad-tips-and-electric-bimodals,MPI_SSMBM644MF-BM,SSMBM644MF-BM,Ford Mustang V8 3in Dual Rear Mufflers With 4in Quad Tips & Electric Bimodals,MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
fx-610dfss-hpc-s-landcruiser-fzj80-4-5l1fze-dohc-eng-1-3-4-primary-2-1-2-outlet-direct-fit-extractor-with-flex,MPI_FX-610DFSS-HPC-S,FX-610DFSS-HPC-S,"Landcruiser FZJ80 4.5L1FZE DOHC Eng, 1 3/4"" Primary, 2 1/2"" Outlet Direct Fit Extractor With Flex",MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
fx-217lhdhpc-s-ford-mustang-289-302-windsor-interference-1964-on-lhd-not-mech-clutch-ceramic-coated-silver,MPI_FX-217LHDHPC-S,FX-217LHDHPC-S,Ford Mustang 289 - 302 Windsor Interference 1964 on LHD (Not Mech Clutch) - Ceramic Coated (Silver),MPI Automotive,mpi,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,P1,Source real supplier image before launch,No matched ZIP image candidate or usable remote image URL
