priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUid,sourceUrl,mainImageUrl,reason
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,25.83,DPAD300SS,"1 3/4in (45mm) Inlet, 3in (76mm) Outlet, 2 3/8in (60mm) Length, Dump Tip Adaptor, Stainless Steel",dpad300ss-1-3-4in-45mm-inlet-3in-76mm-outlet-2-3-8in-60mm-length-dump-tip-adaptor-stainless-steel,MPI_DPAD300SS,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,25.59,FX-RDF400,4in 3 Bolt Collector Flange Plate. 108mm Bolt Centres,fx-rdf400-4in-3-bolt-collector-flange-plate-108mm-bolt-centres,MPI_FX-RDF400,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,25.04,EXBX3035,76-89mm (3in-3.5in) EXPANDED ADAPTOR MILD STEEL NOTCHED END,exbx3035-76-89mm-3in-3-5in-expanded-adaptor-mild-steel-notched-end,MPI_EXBX3035,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,24.88,1ML-AT63-1.6,"2 1/2in (63.5mm) x 1.6mm Wall, 1.45m Length Aluminised Tube. Mandrel Bending Only",1ml-at63-1-6-2-1-2in-63-5mm-x-1-6mm-wall-1-45m-length-aluminised-tube-mandrel-bending-only,MPI_1ML-AT63-1.6,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,24.88,AT63.5-1.6,"2 1/2in (63.5mm) x 1.6mm Wall, Aluminised Tube. Mandrel Bending Only",at63-5-1-6-2-1-2in-63-5mm-x-1-6mm-wall-aluminised-tube-mandrel-bending-only,MPI_AT63.5-1.6,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,24.88,SSB4-20060,2in (50.8mm) 60deg Std Leg 409g Stainless Mandrel Bend,ssb4-20060-2in-50-8mm-60deg-std-leg-409g-stainless-mandrel-bend,MPI_SSB4-20060,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,24.88,SSB4-25030,2 1/2in (63.5mm) 30deg Std Leg 409g Stainless Mandrel Bend,ssb4-25030-2-1-2in-63-5mm-30deg-std-leg-409g-stainless-mandrel-bend,MPI_SSB4-25030,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,24.88,SSB4-25045,2 1/2in (63.5mm) 45deg Std Leg 409g Stainless Mandrel Bend,ssb4-25045-2-1-2in-63-5mm-45deg-std-leg-409g-stainless-mandrel-bend,MPI_SSB4-25045,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,24.88,ST50.8-1.5,2in (50.8mm) x 1.5mm Wall 409g Stainless Steel Tube,st50-8-1-5-2in-50-8mm-x-1-5mm-wall-409g-stainless-steel-tube,MPI_ST50.8-1.5,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,24.20,SB20060,2in (50.8mm) 60deg Mild Steel Mandrel Bend,sb20060-2in-50-8mm-60deg-mild-steel-mandrel-bend,MPI_SB20060,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
