priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P2,Request supplier image; launch with placeholder only if approved,no,Redback Exhausts,redback,exhaust-pipes-tips,rich,105.00,Z605-63BC,REDBACK_Z605-63BC,Z605-63BC.png,REDBACK_Z605-63BC.png,SS TIP SC DW 63 X 75 X 225 BL,z605-63bc-ss-tip-sc-dw-63-x-75-x-225-bl,https://redbackexhausts.com.au/products/ss-tip-sc-dw-63-x-75-x-225-bl,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Redback Exhausts,redback,exhaust-pipes-tips,rich,99.00,Z605BC,REDBACK_Z605BC,Z605BC.png,REDBACK_Z605BC.png,SS TIP SC DW 57 X 75 X 210 BL,z605bc-ss-tip-sc-dw-57-x-75-x-210-bl,https://redbackexhausts.com.au/products/ss-tip-sc-dw-57-x-75-x-210-bl,,No matched ZIP image candidate or usable remote image URL
