priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,229.00,PT06-250,SWD_PT06-250,PT06-250.png,SWD_PT06-250.png,"OVAL MUFFLER 6'X9'(14'LONG) BARREL, TWIN 3' DOUBLE-WALL TIP,2.5'",pt06-250-oval-muffler-6-x9-14-long-barrel-twin-3-double-wall-tip-2-5,https://swd.com.au/products/oval-muffler-6x914long-barrel-twin-3-double-wall-tip-2-5,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,225.00,EM-VEV6-CATL,SWD_EM-VEV6-CATL,EM-VEV6-CATL.png,SWD_EM-VEV6-CATL.png,HOLDEN VE SV6 MILD STEEL PIPING CERAMIC CAT HAND SIDE MILD STEEL LEFT,em-vev6-catl-holden-ve-sv6-mild-steel-piping-ceramic-cat-hand-side-mild-steel-left,https://swd.com.au/products/holden-ve-sv6-mild-steel-piping-ceramic-cat-hand-side-mild-steel-left-side,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,219.00,P-EX12-2,SWD_P-EX12-2,P-EX12-2.png,SWD_P-EX12-2.png,5'X8'TWINTIP OVAL MUFFLER-STAINLESS,p-ex12-2-5-x8-twintip-oval-muffler-stainless,https://swd.com.au/products/5x8twintip-oval-muffler-stainless,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,195.00,VX12-1476,SWD_VX12-1476,VX12-1476.png,SWD_VX12-1476.png,"8"" x 5"" Oval,14"" Long, 3"" Offset Inline - Stainless Steel",vx12-1476-8-x-5-oval-14-long-3-offset-inline-stainless-steel,https://swd.com.au/products/8-x-5-oval-14-long-3-offset-inline-stainless-steel,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,185.00,ES-VE03-CRP,SWD_ES-VE03-CRP,ES-VE03-CRP.png,SWD_ES-VE03-CRP.png,COMMODORE VE 3' CAT REPLACEMENT PIPES,es-ve03-crp-commodore-ve-3-cat-replacement-pipes,https://swd.com.au/products/commodore-ve-3-cat-replacement-pipes,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,182.00,LP02-2,SWD_LP02-2,LP02-2.png,SWD_LP02-2.png,6 RND GLD TIG 14 C/C 4.5 S/C 4,lp02-2-6-rnd-gld-tig-14-c-c-4-5-s-c-4,https://swd.com.au/products/6-rnd-gld-tig-14-c-c-4-5-s-c-4,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,175.00,MF-LK05-2500,SWD_MF-LK05-2500,MF-LK05-2500.png,SWD_MF-LK05-2500.png,CANNON MUFFLER 4' TIP 5.75'BOD,mf-lk05-2500-cannon-muffler-4-tip-5-75-bod,https://swd.com.au/products/cannon-muffler-4-tip-5-75bod,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,175.00,SB05-2,SWD_SB05-2,SB05-2.png,SWD_SB05-2.png,"CANNON MUFFLER-4' S/CUT TIP,5.75' OD BARREL,2' INLET",sb05-2-cannon-muffler-4-s-cut-tip-5-75-od-barrel-2-inlet,https://swd.com.au/products/cannon-muffler-4-s-cut-tip-5-75-od-barrel-2-inlet,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,175.00,VX15-1463,SWD_VX15-1463,VX15-1463.png,SWD_VX15-1463.png,"8"" x 5"" Oval, 14"" Long, 2 1/2"", C/C, Mega Power, Stainless",vx15-1463-8-x-5-oval-14-long-2-1-2-c-c-mega-power-stainless,https://swd.com.au/products/x-force-universal-muffler-2-5in-inlet-twin-in-twin-out-6in-x-9in-oval-resonator-stainless-steel,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,160.00,SV11-300,SWD_SV11-300,SV11-300.png,SWD_SV11-300.png,"3"" S/STEEL 7"" ROUND CANNON WITH DUMP STYLE TIP",sv11-300-3-s-steel-7-round-cannon-with-dump-style-tip,https://swd.com.au/products/x-force-varex-universal-oval-muffler-2-5in-inlet-single-tip,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,150.00,VX05-1457,SWD_VX05-1457,VX05-1457.png,SWD_VX05-1457.png,"10"" x 4"" Oval, 14"" Long, 2 1/4"", O/C, Mega Power, Stainless",vx05-1457-10-x-4-oval-14-long-2-1-4-o-c-mega-power-stainless,https://swd.com.au/products/10-x-4-oval-14-long-2-1-4-o-c-mega-power-stainless,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,mufflers-resonators,rich,150.00,VX05-1463,SWD_VX05-1463,VX05-1463.png,SWD_VX05-1463.png,"10"" x 4"" Oval, 14"" Long, 2 1/2"", O/C, Mega Power, Stainless",vx05-1463-10-x-4-oval-14-long-2-1-2-o-c-mega-power-stainless,https://swd.com.au/products/10-x-4-oval-14-long-2-1-2-o-c-mega-power-stainless,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
