priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,455.00,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,ESA_nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148.png,ESA_nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148.png,NISSAN PATROL Y61 GU 4.8L CAT ASSY USE WITH EH148,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,https://exhaustsystemsaustralia.com.au/products/nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,200.00,holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,ESA_holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip.png,ESA_holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip.png,"HOLDEN COMMODORE VE UTE TWIN REAR 2 1/2"" J-PIPE KIT RHS WITH TYP083 TIP",holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,https://exhaustsystemsaustralia.com.au/products/holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,towing-4x4-accessories,standard,1407.12,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1,ESA_bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1.png,ESA_bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1.png,BTA Towbar Kit To Suit Ford Ranger Pro Series 06/2022 - On UNT36MF Wiring Harness ***** Special Order Item *****,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1-bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-unt36mf-wiring-harness-s,https://exhaustsystemsaustralia.com.au/products/bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-1,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,towing-4x4-accessories,standard,1117.98,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on,ESA_bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on.png,ESA_bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on.png,BTA Towbar Kit To Suit Ford Ranger Pro Series 06/2022 - On ECM01S Wirring Harness ***** Special Order Item *****,bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on-ecm01s-wirring-harness-special-order-item,https://exhaustsystemsaustralia.com.au/products/bta-towbar-kit-to-suit-ford-ranger-pro-series-06-2022-on,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,Exhaust Systems Australia,esa,extractors-headers,rich,670.00,mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket,ESA_mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket,mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket.png,ESA_mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket.png,Mitsubishi Triton MK 2.4L 4G64 2WD ## USE DSF759 GASKET ##,mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket,https://exhaustsystemsaustralia.com.au/products/mitsubishi-triton-mk-2-4l-4g64-2wd-use-dsf759-gasket,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,Exhaust Systems Australia,esa,extractors-headers,rich,560.00,suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket,ESA_suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket,suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket.png,ESA_suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket.png,"Suzuki Sierra SJ413 1.3L G13A, G13B 4WD ## USE DSF058 GASKET ##",suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket,https://exhaustsystemsaustralia.com.au/products/suzuki-sierra-sj413-1-3l-g13a-g13b-4wd-use-dsf058-gasket,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,mufflers-resonators,rich,135.00,11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201,ESA_11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201,11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201.png,ESA_11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201.png,"11"" X 6"" OVAL - 11.5"" LONG O/O INLINE 2 1/2"" GP NS MEGA UNX11612OO-S ST201",11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201,https://exhaustsystemsaustralia.com.au/products/11-x-6-oval-11-5-long-o-o-inline-2-1-2-gp-ns-mega-unx11612oo-s-st201,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,mufflers-resonators,rich,135.00,8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega,ESA_8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega,8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega.png,ESA_8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega.png,"8"" X 5"" OVAL - 15.5"" LONG O/O  (35mm/35mm) 3"" GP NS MEGA",8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega,https://exhaustsystemsaustralia.com.au/products/8-x-5-oval-15-5-long-o-o-35mm-35mm-3-gp-ns-mega,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,65.00,4-101mm-heat-reflective-glass-tape-white-10m-roll,ESA_4-101mm-heat-reflective-glass-tape-white-10m-roll,4-101mm-heat-reflective-glass-tape-white-10m-roll.png,ESA_4-101mm-heat-reflective-glass-tape-white-10m-roll.png,"4"" 101MM HEAT REFLECTIVE GLASS TAPE - WHITE 10M ROLL",4-101mm-heat-reflective-glass-tape-white-10m-roll,https://exhaustsystemsaustralia.com.au/products/4-101mm-heat-reflective-glass-tape-white-10m-roll,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,30.50,drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm,ESA_drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm,drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm.png,ESA_drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm.png,Drop Saw Abrasive Cutoff Wheel Flexovit 356mm x 3.0mm x 25.4mm,drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm,https://exhaustsystemsaustralia.com.au/products/drop-saw-abrasive-cutoff-wheel-flexovit-356mm-x-3-0mm-x-25-4mm,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,28.00,bend-for-hilux-dump-pipe-47deg,ESA_bend-for-hilux-dump-pipe-47deg,bend-for-hilux-dump-pipe-47deg.png,ESA_bend-for-hilux-dump-pipe-47deg.png,Bend For Hilux Dump Pipe 47deg,bend-for-hilux-dump-pipe-47deg,https://exhaustsystemsaustralia.com.au/products/bend-for-hilux-dump-pipe-47deg,,No matched ZIP image candidate or usable remote image URL
